label,modularity_class
FEATURE_BRCTL_FANCY,70
FEATURE_XARGS_SUPPORT_TERMOPT,150
FEATURE_VI_WIN_RESIZE,168
FSCK,216
HUSH,217
NOMMU,217
HDPARM,218
FEATURE_FIND_NOT,161
FEATURE_MODPROBE_SMALL_OPTIONS_ON_CMDLINE,70
RAIDAUTORUN,70
FEATURE_AUTOWIDTH,38
HUSH_RANDOM_SUPPORT,217
HUSH_HELP,217
FEATURE_MODUTILS_ALIAS,70
LOGREAD,219
ASH_GETOPTS,217
FEATURE_COPYBUF_KB,220
FEATURE_TR_CLASSES,221
FEATURE_DEFAULT_PASSWD_ALGO,12
FEATURE_CHOWN_LONG_OPTIONS,186
PMAP,222
FEATURE_LESS_LINENUMS,46
FLOCK,223
DEVFSD_FG_NP,12
WERROR,224
INSTALL_APPLET_SYMLINKS,147
FGCONSOLE,70
FEATURE_TAR_AUTODETECT,73
WALL,66
FEATURE_HTTPD_BASIC_AUTH,63
FEATURE_IFCONFIG_SLIP,26
FEATURE_MOUNT_LOOP_CREATE,1
USE_BB_SHADOW,225
FEATURE_UNIX_LOCAL,226
CONSPY,70
RPM2CPIO,227
DHCPRELAY,60
GROUPS,228
MSH,217
UNICODE_USING_LOCALE,229
LOGIN,12
FEATURE_MOUNT_LOOP,1
FEATURE_TAR_LONG_OPTIONS,73
FREERAMDISK,70
CHPASSWD,230
HUSH_LOCAL,217
ASH_BUILTIN_ECHO,217
USERS,66
DEVMEM,231
TR,221
IFCONFIG,26
FEATURE_DATE_COMPAT,70
FEATURE_ACPID_COMPAT,70
MKSWAP,170
FEATURE_READLINK_FOLLOW,165
CKSUM,232
FEATURE_VOLUMEID_OCFS2,37
DOS2UNIX,109
MOUNT,1
FEATURE_CHAT_SEND_ESCAPES,84
TASKSET,8
FEATURE_SWAPON_DISCARD,70
SETFILES,73
FEATURE_INETD_RPC,12
FLASH_UNLOCK,233
AR,27
UNIT_TEST,234
SPLIT,213
FEATURE_UNEXPAND_LONG_OPTIONS,186
FEATURE_VOLUMEID_F2FS,37
FEATURE_VOLUMEID_NILFS,37
FEATURE_DC_LIBM,99
LAST_ID,186
RESTORECON,73
UPTIME,66
UDHCPC6,26
REMOVE_SHELL,68
FEATURE_GZIP_LONG_OPTIONS,186
FEATURE_IP_ROUTE_DIR,138
FEATURE_PASSWD_WEAK_CHECK,12
FEATURE_MTAB_SUPPORT,1
RMMOD,70
CATV,235
